Date and Time, CO2On, LightOn, Light Level
2024Sep02 12:49:00, False,  True,      100
2024Sep02 12:50:00, False, False,        0
2024Sep02 12:51:00, False, False,        0
2024Sep02 12:52:00, False, False,        0
2024Sep02 12:53:00, False, False,        0
2024Sep02 12:55:00, False, False,        0
2024Sep02 12:56:00, False, False,        0
2024Sep02 12:57:00, False, False,        0
2024Sep02 12:58:00, False, False,        0
2024Sep02 12:59:00, False, False,        0
2024Sep02 13:00:00, False, False,        0
2024Sep02 13:01:00,  True, False,        0
2024Sep02 13:02:00, False, False,        0
2024Sep02 13:03:00, False, False,        0
2024Sep02 13:04:00, False, False,        0
2024Sep02 13:05:00, False, False,        0
2024Sep02 13:06:00,  True, False,        0
2024Sep02 13:07:00, False, False,        0
2024Sep02 13:08:00, False, False,        0
2024Sep02 13:09:00, False, False,        0
2024Sep02 13:10:00, False, False,        0
2024Sep02 13:11:00,  True,  True,       75
2024Sep02 13:12:00, False,  True,       75
2024Sep02 13:13:00, False,  True,       75
2024Sep02 13:14:00, False,  True,       75
2024Sep02 13:15:00, False,  True,       75
2024Sep02 13:16:00,  True,  True,       75
2024Sep02 13:17:00, False,  True,       75
2024Sep02 13:18:00, False,  True,       75
2024Sep02 13:20:00, False,  True,       75
2024Sep02 13:21:00,  True,  True,       75
2024Sep02 13:22:00, False,  True,       75
2024Sep02 13:23:00, False,  True,       75
2024Sep02 13:24:00, False,  True,       75
2024Sep02 13:25:00, False,  True,       75
2024Sep02 13:26:00,  True,  True,       75
2024Sep02 13:27:00, False,  True,       75
2024Sep02 13:29:00, False,  True,       75
2024Sep02 13:30:00, False,  True,       75
2024Sep02 13:31:00,  True,  True,       75
2024Sep02 13:32:00, False,  True,       75
2024Sep02 13:33:00, False,  True,       75
2024Sep02 13:34:00, False,  True,       75
2024Sep02 13:36:00,  True,  True,       75
2024Sep02 13:37:00, False,  True,       75
2024Sep02 13:38:00, False,  True,       75
2024Sep02 13:40:00, False,  True,       75
2024Sep02 13:41:00,  True,  True,       75
2024Sep02 13:42:00, False,  True,       75
2024Sep02 13:43:00, False,  True,       75
2024Sep02 13:44:00, False,  True,       75
2024Sep02 13:45:00, False,  True,       75
2024Sep02 13:46:00,  True,  True,       75
2024Sep02 13:48:00, False,  True,       75
2024Sep02 13:49:00, False,  True,       75
